price,area,bedRoom,bathroom,balcony,floorNum,log_price,others,pooja room,servant room,store room,study room,Environment,Lifestyle,Connectivity,Safety,Wardrobe,Fan,Exhaust Fan,Geyser,Light,Modular Kitchen,AC,Chimney,Bed,Curtains,Dining Table,Microwave,Fridge,Sofa,Stove,TV,Washing Machine,Water Purifier,facing_East,facing_North,facing_North-East,facing_North-West,facing_South,facing_South-East,facing_South-West,facing_West,agePossession_0 to 1 Year Old,agePossession_1 to 5 Year Old,agePossession_10+ Year Old,agePossession_5 to 10 Year Old,agePossession_By 2024,agePossession_By 2027,agePossession_Dec 2023,agePossession_Dec 2024,agePossession_Jan 2024,agePossession_Jun 2024,agePossession_Oct 2023,agePossession_Oct 2024,agePossession_Under Construction,agePossession_Within 3 months,agePossession_Within 6 months
5.0,4950.0,3,3,2,1.0,1.791759469228055,0,0,0,0,0,5,5,5,5,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10.45,2700.0,4,5,2,3.0,2.4379897300002487,0,1,1,0,1,5,5,5,5,0,8,0,5,14,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
19.5,8775.0,5,6,3,2.0,3.0204248861443626,0,1,1,1,1,4,4,5,4,4,0,1,7,4,1,11,1,0,0,0,0,0,0,1,0,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7.5,3240.0,5,5,4,2.0,2.1400661634962708,0,1,1,0,0,4,4,4,4,5,12,1,4,25,1,8,1,0,1,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.67,783.0,3,2,1,1.0,0.5128236264286639,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5.75,3500.0,4,4,2,3.0,1.9095425048844386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5.7,5400.0,4,5,4,3.0,1.9021075263969205,0,1,1,1,1,0,0,0,0,8,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3.2,2367.0,3,3,2,1.0,1.4350845252893227,0,0,0,0,0,4,4,4,4,3,3,1,0,30,1,0,1,0,1,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11.5,2736.0,12,13,4,4.0,2.5257286443082556,0,1,1,0,1,4,5,5,4,5,9,1,5,5,1,0,1,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7.69,3195.0,4,5,3,2.0,2.162172939277301,0,1,1,1,1,4,4,5,4,4,0,1,6,8,1,9,1,0,0,0,0,0,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7.0,3240.0,4,4,4,1.0,2.0794415416798357,0,1,1,0,1,4,4,4,4,0,13,1,6,38,1,7,1,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1.55,1116.0,2,2,2,1.0,0.9360933591703349,0,0,0,0,0,4,4,4,4,2,3,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.85,2628.0,4,4,3,3.0,1.5789787049493917,0,0,0,0,0,4,4,4,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
